sgRNA	gene	CRISPR_C6596822.sample	CRISPR_C6596666.sample
CNST_CCDS1628.1_ex3_1:246797289-246797312:+_5-3	CNST	509	288
GJC3_CCDS34697.1_ex1_7:99526769-99526792:+_5-2	GJC3	871	505
RASSF1_CCDS2820.1_ex2_3:50369085-50369108:-_5-2	RASSF1	748	564
ANKRD36_CCDS54379.1_ex19_2:97830184-97830207:+_5-5	ANKRD36	199	182
EIF5AL1_CCDS53546.1_ex0_10:81272561-81272584:+_5-3	EIF5AL1	829	577
CAPN5_CCDS8248.1_ex4_11:76826469-76826492:-_5-4	CAPN5	1572	693
NR2F2_CCDS10375.1_ex1_15:96877560-96877583:-_5-4	NR2F2	1546	772
sgPIK3CG_7	PIK3CG_LS	1380	561
MXRA5_CCDS14124.1_ex2_X:3240267-3240290:+_5-1	MXRA5	916	540
COG2_CCDS1584.1_ex6_1:230805210-230805233:-_5-5	COG2	601	548
CDON_CCDS58192.1_ex14_11:125887060-125887083:-_5-4	CDON	1242	693
TRPM8_CCDS33407.1_ex3_2:234847802-234847825:+_5-2	TRPM8	1286	713
NR4A2_CCDS2201.1_ex5_2:157186254-157186277:+_5-3	NR4A2	1007	515
MAPK15_CCDS6409.2_ex5_8:144801257-144801280:-_5-4	MAPK15	726	564
LAMTOR3_CCDS3652.1_ex2_4:100806792-100806815:-_5-5	LAMTOR3	642	533
sgNTRK1_9	NTRK1_LS	1061	598
ALDH1L1_CCDS3034.1_ex21_3:125879694-125879717:-_5-5	ALDH1L1	383	287
LYPD6B_CCDS46423.1_ex3_2:150064854-150064877:+_5-4	LYPD6B	529	279
FIBP_CCDS8118.1_ex8_11:65655403-65655426:-_5-3	FIBP	1193	448
LCMT1_CCDS45445.1_ex2_16:25143717-25143740:-_5-3	LCMT1	392	206
sgPOLN_9	POLN_LS	884	354
TMPRSS11F_CCDS3520.1_ex5_4:68938036-68938059:+_5-2	TMPRSS11F	532	226
PPAP2C_CCDS12023.1_ex1_19:282291-282314:+_5-1	PPAP2C	629	351
TMEM209_CCDS47712.1_ex10_7:129841811-129841834:+_5-4	TMEM209	37	26
C15orf52_CCDS10055.2_ex5_15:40630025-40630048:-_5-1	C15orf52	1221	491
C1QTNF3_CCDS34141.1_ex4_5:34035786-34035809:-_5-3	C1QTNF3	821	512
KSR2_CCDS61250.1_ex16_12:118199100-118199123:-_5-3	KSR2	1270	668
TMED10_CCDS9840.1_ex4_14:75643143-75643166:-_5-5	TMED10	937	762
MICA_CCDS56412.1_ex1_6:31378499-31378522:+_5-2	MICA	1078	467
CHI3L2_CCDS30802.1_ex5_1:111778358-111778381:+_5-2	CHI3L2	566	213
MAP7_CCDS5178.1_ex11_6:136698934-136698957:+_5-5	MAP7	918	592
NOLC1_CCDS65925.1_ex0_10:103912260-103912283:+_5-1	NOLC1	451	317
CTRL00019	NON-TARGETING	644	277
ETV5_CCDS33906.1_ex5_3:185783603-185783626:+_5-1	ETV5	753	385
SSX2_CCDS14344.1_ex4_X:52734214-52734237:+_5-5	SSX2	369	316
MCM4_CCDS6143.1_ex4_8:48875397-48875420:+_5-4	MCM4	65	407
DDA1_CCDS12357.1_ex3_19:17426782-17426805:+_5-5	DDA1	738	333
CCDC97_CCDS12578.1_ex2_19:41825518-41825541:-_5-5	CCDC97	473	353
HMBS_CCDS41726.1_ex6_11:118960938-118960961:+_5-3	HMBS	885	512
APLN_CCDS48165.1_ex0_X:128782683-128782706:-_4-2	APLN	809	308
LIMK1_CCDS5563.1_ex3_7:73511459-73511482:+_5-1	LIMK1	866	504
sgKIF2B_10	KIF2B_LS	474	191
EFEMP1_CCDS1857.1_ex7_2:56145001-56145024:+_5-4	EFEMP1	832	594
TUBA3D_CCDS33290.1_ex3_2:132237930-132237953:-_5-5	TUBA3D	1202	714
TMEM214_CCDS42664.1_ex7_2:27259968-27259991:+_5-5	TMEM214	1261	707
C7orf25_CCDS47576.1_ex0_7:42950129-42950152:-_5-3	C7orf25	968	504
sgABCF2_8	ABCF2_LS	190	157
EPB41_CCDS330.1_ex4_1:29344891-29344914:+_5-5	EPB41	1270	562
SLCO2B1_CCDS44683.1_ex4_11:74880765-74880788:-_5-2	SLCO2B1	1389	615
sgMED17_3	MED17_LS	157	96
TMEM217_CCDS4831.1_ex1_6:37186419-37186442:-_5-1	TMEM217	732	609
TMEM184B_CCDS13969.2_ex5_22:38627334-38627357:-_5-4	TMEM184B	2078	748
PAOX_CCDS7682.1_ex1_10:135193946-135193969:+_5-5	PAOX	1117	628
RAB7L1_CCDS1459.1_ex1_1:205739949-205739972:+_6-3	RAB7L1	1276	601
LACRT_CCDS8883.1_ex2_12:55026009-55026032:+_5-1	LACRT	578	366
FOXO3_CCDS5068.1_ex0_6:108882628-108882651:-_5-1	FOXO3	1120	857
UBR4_CCDS189.1_ex58_1:19478236-19478259:+_5-1	UBR4	117	253
RAB28_CCDS33961.1_ex5_4:13481083-13481106:-_5-4	RAB28	210	100
sgPSMC5_4	PSMC5_LS	93	508
PID1_CCDS2471.1_ex0_2:229890743-229890766:-_5-3	PID1	1161	600
CTRL00102	NON-TARGETING	438	222
TRPC6_CCDS8311.1_ex11_11:101374800-101374823:+_5-2	TRPC6	747	510
sgPSMD11_10	PSMD11_LS	170	448
LILRA5_CCDS12888.1_ex2_19:54822816-54822839:-_8-3	LILRA5	823	444
BUD31_CCDS5663.1_ex1_7:99013871-99013894:-_5-5	BUD31	94	299
C14orf182_CCDS41949.1_ex2_14:50472305-50472328:+_5-1	C14orf182	571	331
GAPVD1_CCDS65130.1_ex5_9:128074743-128074766:+_5-5	GAPVD1	880	430
NEB_CCDS46424.1_ex116_2:152534211-152534234:+_5-3	NEB	667	278
sgCDK20_9	CDK20_LS	1237	620
C1orf234_CCDS57978.1_ex1_1:23340416-23340439:-_5-5	C1orf234	918	490
EIF3B_CCDS5332.1_ex1_7:2400421-2400444:-_5-2	EIF3B	341	821
ZNF727_CCDS55113.1_ex2_7:63529965-63529988:+_5-3	ZNF727	301	472
sgTRIB1_1	TRIB1_LS	160	473
ERV3-1_CCDS47595.1_ex0_7:64452648-64452671:+_5-2	ERV3-1	1449	843
ITPKB_CCDS1555.1_ex6_1:226924645-226924668:-_5-3	ITPKB	1189	759
MRPL19_CCDS1960.2_ex1_2:75874324-75874347:-_5-3	MRPL19	851	458
PMM2_CCDS10536.1_ex2_16:8898658-8898681:+_5-2	PMM2	589	193
MDN1_CCDS5024.1_ex99_6:90504424-90504447:+_5-5	MDN1	139	324
METTL7A_CCDS8804.1_ex0_12:51319003-51319026:-_5-3	METTL7A	1102	738
NGRN_CCDS32329.1_ex1_15:90809515-90809538:-_5-1	NGRN	827	642
ECM1_CCDS55632.1_ex2_1:150482163-150482186:-_5-1	ECM1	1095	666
KCNH1_CCDS1496.1_ex4_1:211093319-211093342:-_5-4	KCNH1	508	134
HYAL3_CCDS2815.1_ex2_3:50332126-50332149:+_14-8	HYAL3	1033	581
GRIK5_CCDS12595.1_ex10_19:42558039-42558062:+_5-2	GRIK5	770	557
CEACAM1_CCDS12609.1_ex7_19:43031417-43031440:+_10-8	CEACAM1	913	494
